Date,Open,High,Low,Close,Adj Close,Volume
2011-06-30,54.568913,56.419132,54.518566,55.701698,43.800762,7308606
2011-07-01,55.833858,56.972939,55.607300,56.721207,44.602436,7124599
2011-07-05,56.551289,56.998112,56.148521,56.331024,44.295628,6430524
2011-07-06,56.406544,57.023285,56.230335,56.903713,44.745949,6882754
2011-07-07,57.275017,57.791065,57.117683,57.514160,45.225967,10032469
2011-07-08,56.954060,57.249844,56.607929,56.859661,44.711315,7185458
2011-07-11,56.230335,56.589050,55.896790,56.091881,44.107563,7798335
2011-07-12,56.286972,56.299561,55.588421,55.670235,43.776016,7982818
2011-07-13,55.821270,56.224041,55.374451,55.487728,43.632496,5932532
2011-07-14,55.324104,56.110760,55.135303,55.267464,43.459290,5000106
2011-07-15,55.456261,55.758339,55.141598,55.582127,43.706726,6596098
2011-07-18,55.387035,55.462555,54.631844,55.141598,43.360321,5859755
2011-07-19,55.368156,56.362492,55.342983,55.896790,43.954155,7955487
2011-07-20,55.160477,55.160477,53.914413,54.889870,43.162373,9929820
2011-07-21,55.682819,56.010071,55.261169,55.512901,43.652290,7863484
2011-07-22,55.890495,55.953430,55.173065,55.191944,43.399910,5792223
2011-07-25,54.531151,55.298931,54.310886,54.952801,43.211853,5273891
2011-07-26,54.770294,54.902454,53.870358,54.235367,42.647705,7337684
2011-07-27,53.813721,53.870358,52.555065,52.699810,41.440228,9693218
2011-07-28,52.926369,53.096287,52.120831,52.183762,41.034431,7410302
2011-07-29,51.724354,52.693520,51.290119,52.133415,40.994854,7736682
2011-08-01,52.429199,52.750156,51.126495,51.818752,40.747410,7068984
2011-08-02,51.397106,51.692890,49.672749,49.672749,39.059906,10685231
2011-08-03,49.679043,50.031467,48.867210,49.911896,39.247967,11792605
2011-08-04,49.162994,49.358086,46.714916,46.803020,36.803322,15607317
2011-08-05,47.382000,47.860291,45.726871,46.658276,36.689503,16543079
2011-08-08,45.267464,46.154816,43.870358,43.889240,34.512081,19292526
2011-08-09,42.769035,45.103840,42.240402,45.040905,35.417698,18652635
2011-08-10,43.933292,44.191315,42.297043,42.441788,33.373890,16535929
2011-08-11,42.511013,44.461926,42.297043,43.889240,34.512081,14054387
2011-08-12,43.983639,45.663940,43.939587,45.594715,35.853176,15019228
2011-08-15,46.073002,46.381371,45.437382,46.280682,36.392597,11414105
