Date,Open,High,Low,Close,Volume
06/30/2021,"236.24","241.17","236.00","239.56","12,089,070"
06/29/2021,"243.74","244.37","235.66","235.76","16,743,930"
06/28/2021,"244.73","245.08","238.88","239.96","18,151,980"
06/25/2021,"250.75","252.30","248.25","248.38","9,625,783"
06/24/2021,"245.20","250.74","243.70","250.57","13,755,550"
06/23/2021,"244.80","246.87","243.17","243.57","9,874,664"
06/22/2021,"244.50","244.63","241.08","243.78","10,042,510"
06/21/2021,"238.66","245.62","237.25","245.28","15,301,780"
06/18/2021,"237.79","239.31","235.80","237.35","11,965,020"
06/17/2021,"241.96","243.50","237.33","239.22","10,774,400"
06/16/2021,"245.25","246.06","241.55","242.27","10,529,200"
06/15/2021,"245.36","248.51","244.94","246.54","10,630,920"
06/14/2021,"246.44","249.20","244.40","245.14","9,344,427"
06/11/2021,"250.35","251.12","245.78","247.28","9,934,179"
06/10/2021,"251.72","255.14","248.10","248.34","14,519,160"
06/09/2021,"251.20","253.17","247.91","248.06","10,693,220"
06/08/2021,"256.26","256.31","250.00","252.76","15,113,870"
06/07/2021,"251.50","253.20","248.81","252.66","10,605,970"
06/04/2021,"251.51","251.80","248.49","249.92","8,798,961"
06/03/2021,"252.98","254.80","249.69","250.32","10,401,950"
06/02/2021,"255.60","258.40","254.62","255.62","10,820,400"
06/01/2021,"253.00","255.64","251.52","254.73","13,562,790"
05/28/2021,"247.48","248.98","245.37","247.02","11,197,400"
05/27/2021,"248.11","252.60","247.19","250.70","18,404,391"
05/26/2021,"241.70","242.49","239.87","241.37","7,240,189"
05/25/2021,"240.00","243.78","239.23","240.74","12,908,040"
05/24/2021,"235.14","238.50","232.60","237.44","10,105,970"
05/21/2021,"232.90","236.30","231.39","234.82","16,579,000"
05/20/2021,"225.13","228.44","223.77","227.65","9,218,913"
05/19/2021,"223.18","225.12","220.28","224.42","13,162,730"
05/18/2021,"227.25","232.27","226.43","227.55","10,081,070"
05/17/2021,"226.24","228.26","223.58","227.98","9,539,699"
05/14/2021,"225.99","228.81","224.35","228.47","10,162,400"
05/13/2021,"223.00","229.27","219.07","222.64","16,503,369"
05/12/2021,"227.25","229.74","220.63","220.78","14,931,190"
05/11/2021,"226.56","230.13","223.85","228.88","16,273,170"
05/10/2021,"236.84","241.10","232.50","232.93","14,813,940"
05/07/2021,"229.80","235.91","227.99","235.47","12,822,990"
05/06/2021,"229.30","231.17","226.55","229.81","11,857,110"
05/05/2021,"232.45","233.49","227.56","228.18","14,913,467"
05/04/2021,"235.75","236.65","225.65","233.63","17,807,211"
05/03/2021,"234.11","237.10","233.81","235.19","9,887,848"
04/30/2021,"233.68","236.77","232.70","234.31","10,380,440"
04/29/2021,"237.00","237.68","231.80","235.94","12,296,080"
04/28/2021,"239.00","239.65","232.85","235.46","19,054,131"
04/27/2021,"241.88","243.49","239.41","242.47","10,583,260"
04/26/2021,"240.24","244.65","240.10","241.44","10,599,560"
04/23/2021,"233.89","238.58","233.11","238.38","11,553,320"
04/22/2021,"235.96","239.65","233.38","234.33","13,854,400"
04/21/2021,"232.22","236.76","230.22","235.92","12,847,030"
04/20/2021,"241.03","241.09","232.34","234.06","19,483,580"
04/19/2021,"247.00","247.00","242.22","244.15","9,249,340"
04/16/2021,"252.00","253.05","246.23","248.18","14,605,950"
04/15/2021,"253.56","254.12","249.43","251.11","9,479,008"
04/14/2021,"255.32","258.37","251.28","252.43","12,661,810"
04/13/2021,"248.33","254.49","246.10","253.27","15,901,400"
04/12/2021,"250.57","251.55","246.29","249.52","10,383,610"
04/09/2021,"250.51","252.84","249.44","252.36","12,255,890"
04/08/2021,"251.70","254.95","249.31","254.95","9,899,948"
04/07/2021,"255.31","255.90","250.83","252.58","9,925,745"
04/06/2021,"257.21","259.35","254.66","255.17","11,180,300"
04/05/2021,"256.56","260.48","256.25","259.36","13,750,300"
04/01/2021,"256.67","257.88","251.31","252.96","10,934,490"
03/31/2021,"254.70","257.88","253.36","254.72","14,138,490"
03/30/2021,"251.24","253.50","248.91","252.01","12,577,250"
03/29/2021,"251.30","254.71","248.03","250.52","22,198,779"
03/26/2021,"249.62","250.90","240.30","244.87","17,157,070"
03/25/2021,"234.34","247.58","231.70","247.19","27,553,590"
03/24/2021,"243.75","248.80","239.06","239.24","24,055,109"
03/23/2021,"249.26","251.30","239.43","241.25","21,358,230"
03/22/2021,"255.82","257.67","250.16","251.23","15,230,030"
03/19/2021,"257.75","258.88","251.31","255.82","17,330,779"
03/18/2021,"261.32","267.37","254.73","256.06","24,595,520"
03/17/2021,"254.70","263.61","253.68","263.59","23,785,520"
03/16/2021,"263.23","264.17","254.02","255.21","28,785,801"
03/15/2021,"274.15","278.57","264.33","265.63","34,889,121"
03/12/2021,"253.86","269.72","253.50","269.19","35,264,328"
03/11/2021,"248.77","256.65","246.55","252.00","30,139,250"
03/10/2021,"233.81","246.80","232.88","245.34","27,753,369"
03/09/2021,"226.81","234.06","222.58","230.61","21,001,189"
03/08/2021,"226.67","229.89","223.71","224.03","13,836,760"
03/05/2021,"229.01","229.92","213.80","223.22","20,026,580"
03/04/2021,"232.73","237.10","218.70","224.71","26,645,061"
03/03/2021,"226.36","235.40","225.04","228.56","30,426,039"
03/02/2021,"224.79","227.19","222.15","223.14","11,114,400"
03/01/2021,"219.60","226.98","219.02","224.39","18,735,439"
